ResetAfterDrinkSearch_branding_spend,ShoppingReset_spend,quarter_1,quarter_2,quarter_3,quarter_4,dutch_sports_event,dutch_hol_fest,weekend_clicks,week_purchases,ResetSearch_branding_spend_log,engagedSessions_reset,conversions_reset
1.3097,3.9609,0,0,0,1,0,1,1,0,1.966748654210545,9,0
0.4641,2.7524,1,0,0,0,0,0,0,1,1.1047268896679636,11,1
3.0574,2.7153,0,0,1,0,0,0,0,1,1.6468492974322466,7,0
1.3752,2.6632,0,0,0,1,0,0,0,1,1.6595034534408224,10,0
2.9047,3.1687,0,0,0,1,0,0,0,0,1.959319835965231,17,0
8.4968,1.1517,1,0,0,0,0,0,0,0,1.7805131322549734,6,0
2.6876,0.7124,1,0,0,0,1,0,0,0,1.5411162442112605,10,1
1.9775,4.357,1,0,0,0,0,0,0,0,2.3055008380749427,8,0
5.7152,8.6924,1,0,0,0,1,0,1,0,1.9092165258331142,12,0
1.8773,0.8404,0,0,0,1,0,1,0,0,0.83716094069885,6,1
2.5244,4.0454,0,0,0,1,0,0,0,1,1.6079568161523021,11,1
4.0935,1.2881,1,0,0,0,0,0,0,0,1.5289217593696467,10,1
3.0024,2.4516,0,0,0,1,0,0,1,0,2.009354321611848,4,0
3.8752,1.8011,1,0,0,0,0,0,0,0,1.2464286633623285,16,2
1.9649,1.9758,1,0,0,0,1,0,0,1,1.3867692483431018,11,0
0.5107,0.0,1,0,0,0,0,0,1,0,2.0360772557736713,5,0
2.4516,2.4408,0,0,0,1,0,0,1,0,1.503899603194154,6,0
4.3658,1.3207,0,0,0,1,0,0,1,0,0.8967408726294396,10,1
2.2032,1.35,0,0,0,1,0,0,0,0,1.4239754280875792,9,1
3.0343,1.2334,0,0,0,1,0,0,1,0,1.3160596474374384,9,0
2.9142,3.1652,0,0,0,1,0,0,0,0,1.426764293673604,9,0
1.6263,3.2744,0,0,0,1,0,0,0,0,0.6158880950129938,9,1
2.3449,1.9329,0,0,0,1,0,0,1,0,1.2292896123097259,5,0
2.5758,1.5171,0,0,0,1,0,0,1,0,1.6981994237115583,16,1
0.0634,1.7322,0,0,0,1,1,0,0,1,1.7460645099659255,7,1
3.6283,0.0,0,1,0,0,0,0,0,1,2.9422734782661943,10,0
4.3331,4.224,0,0,0,1,0,0,1,0,2.006817083958835,9,0
1.7465,1.561,1,0,0,0,0,0,0,1,0.944644925370683,6,0
0.0,0.0,0,1,0,0,1,0,1,0,2.536565710608186,7,0
8.6489,0.0,1,0,0,0,0,0,0,1,1.9346614041988215,8,0
4.0195,2.78,0,0,1,0,0,0,0,0,1.6872134366036668,10,0
6.0435,0.0,0,1,0,0,0,0,1,0,2.708623370142781,12,0
4.3201,3.2184,0,0,0,1,0,0,1,0,1.3455765278413316,3,0
4.2509,0.0,0,1,0,0,0,0,0,1,2.9018281048526426,6,0
2.0626,2.8,0,0,1,0,0,1,1,0,0.9860406500622593,8,0
2.5667,2.7251,0,0,0,1,0,0,0,0,1.7180232228475412,18,0
0.0,3.8315,1,0,0,0,0,0,0,1,1.1915864086748866,9,0
2.0959,0.9388,1,0,0,0,0,0,0,0,0.6040973637264344,7,1
0.0648,1.944,0,0,0,1,1,0,0,0,0.0,6,0
2.6301,2.4399,0,0,0,1,0,0,0,1,1.4501607814483046,9,1
2.4121,1.9428,0,0,0,1,0,0,1,0,0.8035250880295547,9,1
2.7251,3.1265,0,0,0,1,0,0,0,0,1.138826098281412,6,0
3.1293,5.3349,1,0,0,0,1,0,0,1,0.8346033391139392,6,0
3.2202,2.9364,1,0,0,0,0,0,1,0,1.6343646439579589,16,0
2.9077,0.87,0,0,1,0,0,0,0,1,1.9097350789334584,5,0
4.0051,4.25,0,0,1,0,0,0,1,0,1.1542677217462687,9,0
0.3207,1.5608,0,0,1,0,0,0,0,0,0.8017324909733861,2,0
0.9728,1.15,0,0,1,0,0,0,0,0,0.9361325740876943,6,0
0.8445,3.9447,0,0,1,0,0,0,0,0,1.126421989307377,11,0
1.5552,0.756,0,0,0,1,0,0,0,1,1.108694624009622,4,0
2.1281,2.27,0,0,1,0,0,0,0,0,0.6449018679319509,7,0
2.9119,0.0,1,0,0,0,0,0,1,0,2.031812578056017,9,0
3.726,0.5832,0,0,0,1,0,0,0,1,1.5392729257169713,7,2
3.5727,1.9428,1,0,0,0,0,0,0,1,1.7694968185540672,14,1
0.378,2.106,0,0,0,1,0,0,0,0,2.009354321611848,7,1
2.1274,2.6084,0,0,1,0,1,0,0,1,1.3602070263565722,7,0
2.1174,1.2006,0,0,0,1,0,0,0,0,1.5974058162102616,7,2
2.0952,2.8512,0,0,0,1,0,0,0,0,2.0079052598939318,12,0
0.3602,1.7902,1,0,0,0,0,0,0,0,1.6616697662369353,11,0
1.7486,1.4571,1,0,0,0,0,0,0,1,1.9583467783017772,14,2
0.0106,2.2604,0,0,0,1,0,1,1,0,1.5735205372473005,4,1
4.2761,1.0156,0,0,1,0,0,0,1,0,1.2063300238996142,5,0
2.0083,2.1283,0,0,0,1,0,0,0,1,1.909838757293656,12,0
6.0955,0.0,1,0,0,0,0,0,0,0,1.84091464613731,5,0
4.1933,2.3977,0,0,0,1,1,0,0,0,0.0,8,1
3.843,0.0,0,1,0,0,0,1,0,0,1.9195808406659394,7,0
3.4422,1.96,0,0,1,0,0,0,1,0,1.5608777218187233,9,0
0.322,0.0,0,1,0,0,0,0,0,1,2.4967034596675113,10,0
1.3799,2.2274,1,0,0,0,1,0,0,1,2.338531219767515,8,0
0.3384,0.7859,0,0,0,1,1,0,1,0,1.7160116917897803,8,0
3.1301,2.6121,1,0,0,0,0,0,1,0,1.906783145796837,9,1
1.4844,1.3207,0,0,0,1,0,1,0,0,0.8035250880295547,10,0
0.02,0.0,0,0,1,0,0,0,0,0,0.0,1,0
0.35,3.97,0,0,1,0,0,0,0,1,1.8562979903656263,10,0
